Boro;Offense;Law Cat;Latitude;Longitude
BRONX;PUBLIC ORDER;MISDEMEANOR;40.791151867;-73.884371919
BROOKLYN;ASSAULT;MISDEMEANOR;40.67939467;-73.944983977
BROOKLYN;WEAPONS;MISDEMEANOR;40.657254322;-73.912424386
BRONX;ASSAULT;MISDEMEANOR;40.832266079;-73.900110077
BROOKLYN;THEFT&FRAUD;FELONY;40.661485466;-73.952171445
QUEENS;THEFT&FRAUD;FELONY;40.730453012;-73.80571949
MANHATTAN;PUBLIC ORDER;MISDEMEANOR;40.798986105;-73.944617869
BROOKLYN;THEFT&FRAUD;FELONY;40.692676208;-73.909575954
MANHATTAN;PUBLIC ORDER;MISDEMEANOR;40.779660972;-73.95191325
MANHATTAN;ASSAULT;MISDEMEANOR;40.756535428;-73.994020485
QUEENS;THEFT&FRAUD;FELONY;40.68065979;-73.824299037
BRONX;THEFT&FRAUD;MISDEMEANOR;40.819763873;-73.879946926
QUEENS;DRIVING;MISDEMEANOR;40.721847933;-73.906581721
MANHATTAN;PUBLIC ORDER;MISDEMEANOR;40.748509937;-74.001145527
MANHATTAN;PUBLIC ORDER;MISDEMEANOR;40.806096945;-73.963380954
MANHATTAN;THEFT&FRAUD;MISDEMEANOR;40.762897226;-73.987525779
BRONX;ASSAULT;MISDEMEANOR;40.883621654;-73.857720839
BRONX;ASSAULT;VIOLATION;40.811986921;-73.923726674
BRONX;PUBLIC ORDER;MISDEMEANOR;40.815670412;-73.92383806
MANHATTAN;PUBLIC ORDER;MISDEMEANOR;40.728916629;-73.982895836
BROOKLYN;WEAPONS;MISDEMEANOR;40.680398609;-73.949558393
BRONX;ASSAULT;FELONY;40.817969905;-73.886431614
BROOKLYN;PUBLIC ORDER;MISDEMEANOR;40.656249175;-73.936684828
MANHATTAN;WEAPONS;MISDEMEANOR;40.719943325;-73.978753084
MANHATTAN;OTHER;FELONY;40.856727523;-73.930908887
STATEN ISLAND;WEAPONS;FELONY;40.63682661;-74.157940722
BRONX;ASSAULT;VIOLATION;40.838944426;-73.900642148
BRONX;THEFT&FRAUD;FELONY;40.90332271;-73.848841135
MANHATTAN;PUBLIC ORDER;MISDEMEANOR;40.814803479;-73.956284484
BROOKLYN;ASSAULT;VIOLATION;40.662049731;-73.896252342
QUEENS;ASSAULT;MISDEMEANOR;40.762774174;-73.912599704
BROOKLYN;THEFT&FRAUD;FELONY;40.673725074;-73.94735716
BROOKLYN;ASSAULT;VIOLATION;40.652105473;-73.964341211
BROOKLYN;ASSAULT;MISDEMEANOR;40.689330153;-73.949681448
BRONX;THEFT&FRAUD;FELONY;40.863338448;-73.896469785
QUEENS;THEFT&FRAUD;MISDEMEANOR;40.698690941;-73.888722896
BROOKLYN;ASSAULT;VIOLATION;40.71007183;-73.962715911
MANHATTAN;THEFT&FRAUD;MISDEMEANOR;40.740880579;-73.980197092
MANHATTAN;THEFT&FRAUD;MISDEMEANOR;40.718704649;-74.000903313
QUEENS;THEFT&FRAUD;MISDEMEANOR;40.768507898;-73.773524871
BROOKLYN;PUBLIC ORDER;MISDEMEANOR;40.680487139;-73.925553583
MANHATTAN;THEFT&FRAUD;FELONY;40.793309296;-73.963499944
MANHATTAN;ASSAULT;MISDEMEANOR;40.787450075;-73.944771913
MANHATTAN;PUBLIC ORDER;FELONY;40.810772767;-73.95259159
BROOKLYN;OTHER;FELONY;40.701016395;-73.984796409
